title,duration,rating,stars,votes
Cobra Kai,30 min,8.5,"['Ralph Macchio, ', 'William Zabka, ', 'Courtney Henggeler, ', 'Xolo Maridueña']","177,031"
The Crown,58 min,8.7,"['Claire Foy, ', 'Olivia Colman, ', 'Imelda Staunton, ', 'Matt Smith']","199,885"
Better Call Saul,46 min,8.9,"['Bob Odenkirk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrick Fabian']","501,384"
Devil in Ohio,356 min,5.9,"['Emily Deschanel, ', 'Sam Jaeger, ', 'Gerardo Celasco, ', 'Madeleine Arthur']","9,773"
Cyberpunk: Edgerunners,24 min,8.6,"['Zach Aguilar, ', 'Kenichiro Ohashi, ', 'Emi Lo, ', 'Aoi Yûki']","15,413"
The Sandman,45 min,7.8,"['Tom Sturridge, ', 'Boyd Holbrook, ', 'Patton Oswalt, ', 'Vivienne Acheampong']","116,358"
Rick and Morty,23 min,9.2,"['Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","502,160"
Breaking Bad,49 min,9.5,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340"
The Imperfects,45 min,6.3,"['Morgan Taylor Campbell, ', 'Italia Ricci, ', 'Rhianna Jagpal, ', 'Iñaki Godoy']","3,123"
Blonde,166 min,6.2,"['Andrew Dominik', '| ', '    Stars:', 'Ana de Armas, ', 'Lucy DeVito, ', 'Garret Dillahunt, ', 'Adrien Brody']",935
Stranger Things,51 min,8.7,"['Millie Bobby Brown, ', 'Finn Wolfhard, ', 'Winona Ryder, ', 'Caleb McLaughlin']","1,149,889"
End of the Road,89 min,4.7,"['Millicent Shelton', '| ', '    Stars:', 'Queen Latifah, ', 'Ludacris, ', 'Mychala Lee, ', 'Shaun Dixon']","5,122"
The Walking Dead,44 min,8.1,"['Andrew Lincoln, ', 'Norman Reedus, ', 'Melissa McBride, ', 'Lauren Cohan']","970,060"
Glass Onion: A Knives Out Mystery,139 min,8.1,"['Rian Johnson', '| ', '    Stars:', 'Daniel Craig, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautista']",547
Do Revenge,118 min,6.4,"['Jennifer Kaytin Robinson', '| ', '    Stars:', 'Camila Mendes, ', 'Maya Hawke, ', 'Austin Abrams, ', 'Rish Shah']","13,457"
I Came By,110 min,6.1,"['Babak Anvari', '| ', '    Stars:', 'Antonio Aakeel, ', 'Alicia Ambrose-Bayly, ', 'Percelle Ascott, ', 'Franc Ashman']","16,230"
No Limit,118 min,5.8,"['David M. Rosenthal', '| ', '    Stars:', 'Camille Rowe, ', 'Sofiane Zermani, ', 'César Domboy, ', 'Laurent Fernandez']","1,695"
1899,60 min,9.6,"['Ben Ashenden, ', 'Aneurin Barnard, ', 'Emily Beecham, ', 'Anton Lesser']",853
Peaky Blinders,60 min,8.8,"['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","531,058"
Fate: The Winx Saga,,6.9,"['Sadie Soverall, ', 'Abigail Cowen, ', 'Freddie Thorp, ', 'Hannah van der Westhuysen']","43,179"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean']","1,844,055"
Grey's Anatomy,41 min,7.6,"['Ellen Pompeo, ', 'Chandra Wilson, ', 'James Pickens Jr., ', 'Justin Chambers']","303,617"
Supernatural,44 min,8.4,"['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","439,597"
American Horror Story,60 min,8.0,"['Lady Gaga, ', 'Kathy Bates, ', 'Angela Bassett, ', 'Sarah Paulson']","312,970"
The Accidental Narco,50 min,7.4,"['Ha Jung-woo, ', 'Hwang Jung-min, ', 'Park Hae-soo, ', 'Woo-jin Jo']","2,056"
NCIS,60 min,7.8,"['David McCallum, ', 'Mark Harmon, ', 'Sean Murray, ', 'Pauley Perrette']","145,895"
Friends,22 min,8.9,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424"
Shameless,46 min,8.6,"['Emmy Rossum, ', 'William H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen White']","239,541"
Modern Family,22 min,8.5,"[""Ed O'Neill, "", 'Sofía Vergara, ', 'Julie Bowen, ', 'Ty Burrell']","423,963"
