index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
0	846	Elinor	Ostrom	8/7/1933	6/12/2012	USA	USA	female	2009.0	economics
1	846	Elinor	Ostrom	8/7/1933	6/12/2012	USA	USA	female	2009.0	economics
2	783	Wangari Muta	Maathai	4/1/1940	9/25/2011	Kenya	Kenya	female	2004.0	peace
3	230	Dorothy Crowfoot	Hodgkin	5/12/1910	7/29/1994	Egypt	United Kingdom	female	1964.0	chemistry
4	918	Youyou	Tu	12/30/1930	0000-00-00	China		female	2015.0	medicine
5	428	Barbara	McClintock	6/16/1902	9/2/1992	USA	USA	female	1983.0	medicine
6	773	Shirin	Ebadi	6/21/1947	0000-00-00	Iran		female	2003.0	peace
7	597	Grazia	Deledda	09/27/1871	8/15/1936	Italy	Italy	female	1926.0	literature
8	615	Gabriela	Mistral	04/07/1889	1/10/1957	Chile	USA	female	1945.0	literature
9	782	Elfriede	Jelinek	10/20/1946	0000-00-00	Austria		female	2004.0	literature
10	553	Aung San Suu Kyi		6/19/1945	0000-00-00	Burma (now Myanmar)		female	1991.0	peace
11	640	Nelly	Sachs	12/10/1891	5/12/1970	Germany	Sweden	female	1966.0	literature
12	924	Svetlana	Alexievich	5/31/1948	0000-00-00	Ukraine		female	2015.0	literature
13	610	Pearl	Buck	06/26/1892	3/6/1973	USA	USA	female	1938.0	literature
14	673	Wislawa	Szymborska	7/2/1923	2/1/2012	Poland	Poland	female	1996.0	literature
15	843	Ada E.	Yonath	6/22/1939	0000-00-00	British Mandate of Palestine (now Israel)		female	2009.0	chemistry
16	413	Rosalyn	Yalow	7/19/1921	5/30/2011	USA	USA	female	1977.0	medicine
17	836	Carol W.	Greider	4/15/1961	0000-00-00	USA		female	2009.0	medicine
18	835	Elizabeth H.	Blackburn	11/26/1948	0000-00-00	Australia		female	2009.0	medicine
19	79	Maria	Goeppert Mayer	6/28/1906	2/20/1972	Germany (now Poland)	USA	female	1963.0	physics
20	453	Christiane	Nôsslein-Volhard	10/20/1942	0000-00-00	Germany		female	1995.0	medicine
21	904	May-Britt	Moser	1/4/1963	0000-00-00	Norway		female	2014.0	medicine
22	435	Rita	Levi-Montalcini	4/22/1909	12/30/2012	Italy	Italy	female	1986.0	medicine
23	438	Gertrude B.	Elion	1/23/1918	2/21/1999	USA	USA	female	1988.0	medicine
24	775	Linda B.	Buck	1/29/1947	0000-00-00	USA		female	2004.0	medicine
25	824	Franoise	Barr_-Sinoussi	7/30/1947	0000-00-00	France		female	2008.0	medicine
26	344	Gerty Theresa	Cori, n_e Radnitz	08/15/1896	10/26/1957	Austria-Hungary (now Czech Republic)	USA	female	1947.0	medicine
27	869	Ellen	Johnson Sirleaf	10/29/1938	0000-00-00	Liberia		female	2011.0	peace
28	870	Leymah	Gbowee	2/1/1972	0000-00-00	Liberia		female	2011.0	peace
29	871	Tawakkol	Karman	2/7/1979	0000-00-00	Yemen		female	2011.0	peace
30	914	Malala	Yousafzai	7/12/1997	0000-00-00	Pakistan		female	2014.0	peace
31	565	Jody	Williams	10/9/1950	0000-00-00	USA		female	1997.0	peace
32	579	Selma Ottilia Lovisa	Lagerl_f	11/20/1858	3/16/1940	Sweden	Sweden	female	1909.0	literature
33	6	Marie	Curie, n_e Sklodowska	11/07/1867	7/4/1934	Russian Empire (now Poland)	France	female	1911.0	chemistry
